[dhdlcImp::dhdlcImp():12.56.33.0005] - Constructor called
[dhdlcImp::init():12.56.33.0006] - init(Default Falcon,(null))
[dhdlcImp::init():12.56.33.1227] - dhdOpen() returned 0
[dhdlcImp::init():12.56.33.2059] - dhdOpen(true) returned -1
[dhdlcImp::init():12.56.33.2430] - dhdOpen(true) returned -1
[dhdlcImp::init():12.56.33.2714] - dhdOpen(true) returned -1
[dhdlcImp::init():12.56.33.3283] - dhdOpen(true) returned -1
[dhdlcImp::init():12.56.33.3896] - dhdOpen(true) returned -1
[dhdlcImp::init():12.56.34.4520] - dhdOpen() returned -1
[dhdlcImp::init():12.56.34.4588] - dhdOpen() returned -1
[dhdlcImp::init():12.56.34.5096] - dhdOpen() returned -1
[dhdlcImp::init():12.56.34.5391] - dhdOpen() returned -1
[dhdlcImp::init():12.56.34.6658] - dhdOpen(true) returned -1
[dhdlcImp::init():12.56.34.7263] - dhdOpen(true) returned -1
[dhdlcImp::init():12.56.34.7964] - dhdOpen(true) returned -1
[dhdlcImp::init():12.56.34.8654] - dhdOpen(true) returned -1
[dhdlcImp::init():12.56.34.9820] - dhdOpen(true) returned -1
[dhdlcImp::init():12.56.36.0701] - dhdOpen() returned -1
[dhdlcImp::init():12.56.36.0841] - dhdOpen() returned -1
[dhdlcImp::init():12.56.36.1231] - dhdOpen() returned -1
[dhdlcImp::init():12.56.36.1467] - dhdOpen() returned -1
[dhdlcImp::init():12.56.36.3082] - dhdOpen(true) returned -1
[dhdlcImp::init():12.56.36.3734] - dhdOpen(true) returned -1
[dhdlcImp::init():12.56.36.4403] - dhdOpen(true) returned -1
[dhdlcImp::init():12.56.36.5095] - dhdOpen(true) returned -1
[dhdlcImp::init():12.56.36.6013] - dhdOpen(true) returned -1
[dhdlcImp::init():12.56.37.7136] - dhdOpen() returned -1
[dhdlcImp::init():12.56.37.7467] - dhdOpen() returned -1
[dhdlcImp::init():12.56.37.7751] - dhdOpen() returned -1
[dhdlcImp::init():12.56.37.8107] - dhdOpen() returned -1
[dhdlcImp::init():12.56.37.9703] - dhdOpen(true) returned -1
[dhdlcImp::init():12.56.38.0331] - dhdOpen(true) returned -1
[dhdlcImp::init():12.56.38.0953] - dhdOpen(true) returned -1
[dhdlcImp::init():12.56.38.1723] - dhdOpen(true) returned -1
[dhdlcImp::init():12.56.38.2786] - dhdOpen(true) returned -1
[dhdlcImp::init():12.56.39.3739] - dhdOpen() returned -1
[dhdlcImp::init():12.56.39.4082] - dhdOpen() returned -1
[dhdlcImp::init():12.56.39.4316] - dhdOpen() returned -1
[dhdlcImp::init():12.56.39.4828] - dhdOpen() returned -1
[dhdlcImp::init():12.56.39.6409] - dhdOpen(true) returned -1
[dhdlcImp::init():12.56.39.6983] - dhdOpen(true) returned -1
[dhdlcImp::init():12.56.39.7685] - dhdOpen(true) returned -1
[dhdlcImp::init():12.56.39.8422] - dhdOpen(true) returned -1
[dhdlcImp::init():12.56.39.9363] - dhdOpen(true) returned -1
[dhdlcImp::init():12.56.41.0421] - Returning -1
[dhdlcImp::init():12.57.52.6628] - init(Default Falcon,(null))
[dhdlcImp::init():12.57.52.6649] - dhdOpen() returned -1
[dhdlcImp::init():12.57.52.7174] - dhdOpen() returned -1
[dhdlcImp::init():12.57.52.7509] - dhdOpen() returned -1
[dhdlcImp::init():12.57.52.7862] - dhdOpen() returned -1
[dhdlcImp::init():12.57.52.9532] - dhdOpen(true) returned -1
[dhdlcImp::init():12.57.53.0450] - dhdOpen(true) returned -1
[dhdlcImp::init():12.57.53.1121] - dhdOpen(true) returned -1
[dhdlcImp::init():12.57.53.1879] - dhdOpen(true) returned -1
[dhdlcImp::init():12.57.53.2843] - dhdOpen(true) returned -1
[dhdlcImp::init():12.57.54.3774] - dhdOpen() returned -1
[dhdlcImp::init():12.57.54.3897] - dhdOpen() returned -1
[dhdlcImp::init():12.57.54.4285] - dhdOpen() returned -1
[dhdlcImp::init():12.57.54.4566] - dhdOpen() returned -1
[dhdlcImp::init():12.57.54.6180] - dhdOpen(true) returned -1
[dhdlcImp::init():12.57.54.6910] - dhdOpen(true) returned -1
[dhdlcImp::init():12.57.54.7517] - dhdOpen(true) returned -1
[dhdlcImp::init():12.57.54.8352] - dhdOpen(true) returned -1
[dhdlcImp::init():12.57.54.9203] - dhdOpen(true) returned -1
[dhdlcImp::init():12.57.56.0183] - dhdOpen() returned -1
[dhdlcImp::init():12.57.56.0401] - dhdOpen() returned -1
[dhdlcImp::init():12.57.56.0821] - dhdOpen() returned -1
[dhdlcImp::init():12.57.56.1126] - dhdOpen() returned -1
[dhdlcImp::init():12.57.56.2405] - dhdOpen(true) returned -1
[dhdlcImp::init():12.57.56.3007] - dhdOpen(true) returned -1
[dhdlcImp::init():12.57.56.3949] - dhdOpen(true) returned -1
[dhdlcImp::init():12.57.56.4775] - dhdOpen(true) returned -1
[dhdlcImp::init():12.57.56.5858] - dhdOpen(true) returned -1
[dhdlcImp::init():12.57.57.6732] - dhdOpen() returned -1
[dhdlcImp::init():12.57.57.6887] - dhdOpen() returned -1
[dhdlcImp::init():12.57.57.7198] - dhdOpen() returned -1
[dhdlcImp::init():12.57.57.7494] - dhdOpen() returned -1
[dhdlcImp::init():12.57.57.9214] - dhdOpen(true) returned -1
[dhdlcImp::init():12.57.57.9850] - dhdOpen(true) returned -1
[dhdlcImp::init():12.57.58.0525] - dhdOpen(true) returned -1
[dhdlcImp::init():12.57.58.1237] - dhdOpen(true) returned -1
[dhdlcImp::init():12.57.58.2180] - dhdOpen(true) returned -1
[dhdlcImp::init():12.57.59.3146] - dhdOpen() returned -1
[dhdlcImp::init():12.57.59.4197] - dhdOpen() returned -1
[dhdlcImp::init():12.57.59.4525] - dhdOpen() returned -1
[dhdlcImp::init():12.57.59.4843] - dhdOpen() returned -1
[dhdlcImp::init():12.57.59.6572] - dhdOpen(true) returned -1
[dhdlcImp::init():12.57.59.7216] - dhdOpen(true) returned -1
[dhdlcImp::init():12.57.59.7825] - dhdOpen(true) returned -1
[dhdlcImp::init():12.57.59.8834] - dhdOpen(true) returned -1
[dhdlcImp::init():12.57.59.9775] - dhdOpen(true) returned -1
[dhdlcImp::init():12.58.01.0778] - Returning -1
